COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_V_15_UT,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,CLORUROS_TOT,TIPO_CUERPO_AGUA
24000.0,24000.0,2420.0,2.839,2.2,4.8,6.6,10.0,18.47,0.054,0.027,0.749,0.241,1.071,0.295,1.0,1.0,0.148,0.014,10.0,0.064,154.24,241.0,8.2,72.3,6.3,28.0,22.0,,,,,,,145.0,30.3,26.4,,LÓTICO
1500.0,2100.0,29.0,4.215,3.351,2.0,2.0,28.14,39.75,0.03,0.02,0.487,0.221,0.758,0.251,1.0,1.0,0.022,0.012,5.0,0.03,145.728,227.7,8.4,85.4,7.9,12.0,10.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,139.0,29.0,28.0,,LÓTICO
426.0,860.0,1.0,3.56,1.32,2.0,2.0,10.0,10.0,0.048206,0.032039,0.193857,0.398816,0.672918,0.44702200000000003,1.0,1.0,0.0014,0.0015,5.0,0.009,168.32,263.0,9.1,107.1,8.81,10.0,2.5,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,129.0,27.0,23.0,,LÓTICO
1523.0,3255.0,97.0,8.503,1.638,2.0,2.0,10.0,10.0,0.068298,0.0118,0.7536,0.200985,1.034683,0.269283,1.0,1.0,0.0426,0.0174,5.0,0.009,168.32,263.0,8.3,82.2,6.53,13.0,3.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,128.0,26.0,24.0,,LÓTICO
1553.0,1935.0,10.0,2.708,2.708,2.0,2.0,10.0,10.0,0.011492,0.026509,0.562478,0.475438,1.075917,0.48693000000000003,1.0,1.0,0.1493,0.0705,5.0,0.0635,164.48,257.0,8.4,77.8,5.71,73.0,34.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,128.0,32.0,31.0,,LÓTICO
19863.0,24000.0,4106.0,2.951,2.951,2.0,2.0,10.0,10.0,0.056488,0.011633,0.038947,0.841812,0.94888,0.8983,1.0,1.0,0.273,0.0549,13.0,0.0618,197.12,308.0,7.9,94.4,7.45,46.0,22.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,132.0,34.0,28.0,,LÓTICO
2481.0,3873.0,1.0,0.103,0.103,2.0,2.0,10.0,10.0,0.077009,0.009133,0.482567,0.279367,0.848076,0.35637599999999997,1.0,1.0,0.074,0.011,8.0,0.009,158.08,247.0,7.9,88.3,6.86,20.0,5.5,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,124.74,32.4,27.6,,LÓTICO
2902.0,4884.0,247.0,1.424,0.862,2.0,2.0,10.0,10.0,0.074443,0.006227,0.854356,0.319527,1.254553,0.39397,1.0,1.0,0.092,0.07,10.0,0.0757,172.16,269.0,8.4,63.2,4.9,18.0,10.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,108.9,33.6,29.3,,LÓTICO
2613.0,3873.0,10.0,3.945,1.61,2.0,2.0,10.0,10.0,0.0837,0.0074,0.3625,0.4993,0.9529000000000001,0.583,1.0,1.0,0.0831,0.0251,5.0,0.009,147.20000000000002,230.0,8.4,102.1,7.92,10.0,2.5,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,114.0,29.0,26.5,,LÓTICO
3873.0,6488.0,52.0,7.505,6.21,2.0,2.93,10.0,10.0,0.1594,0.0096,0.3277,0.5195,1.0162,0.6789,1.0,1.0,0.077,0.069,25.0,0.0864,156.8,245.0,7.9,43.6,3.23,60.0,21.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,106.0,33.0,30.8,,LÓTICO
12997.0,24196.0,1872.0,2.936,1.107,2.0,2.0,10.0,10.99,0.0686,0.008,0.6323,0.2794,0.9883,0.348,1.0,1.0,0.125,0.079,18.0,0.0567,165.76,259.0,7.1,65.8,5.16,26.0,7.2,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,142.0,28.0,26.3,,LÓTICO
5794.0,17329.0,257.0,2.96,1.208,2.0,2.0,10.0,10.0,0.059578,0.00681,0.557594,0.288378,0.9123600000000001,0.34795600000000004,1.0,1.0,0.0014,0.0015,5.0,0.0933,161.28,252.0,7.8,79.1,6.32,35.0,34.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,148.0,31.3,27.8,,LÓTICO
24196.0,24196.0,19863.0,5.701,2.399,2.0,2.32,15.98,34.72,0.146,0.032,1.211,0.144,1.533,0.29,1.0,1.0,0.456,0.102,8.0,0.1815,211.20000000000002,330.0,7.4,59.9,4.86,572.0,550.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,308.0,33.7,29.6,,LÓTICO
24196.0,24196.0,24196.0,2.101,1.735,2.0,2.0,10.0,10.0,0.074,0.06,0.953,0.071,1.158,0.145,1.0,1.0,0.026,0.019,5.0,0.1054,170.24,266.0,7.9,69.7,4.96,100.0,40.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,143.0,31.6,28.1,,LÓTICO
24000.0,24000.0,2100.0,3.358,2.279,2.0,2.0,10.0,10.0,0.023,0.005,1.491,0.806,2.3200000000000003,0.8290000000000001,1.0,1.0,0.0524,0.036,5.0,0.034,162.56,254.0,8.2,82.0,6.4,10.0,13.0,0.0015,0.001301,0.0012,0.0002013,0.00219,0.00154,130.0,27.4,28.3,,LÓTICO
30.0,150.0,30.0,2.764,1.125,2.0,2.0,16.07,44.13,0.169,0.005,1.078,0.42,1.667,0.589,1.0,1.0,0.033,0.026,20.0,0.026,183.04,286.0,7.3,94.9,7.47,10.0,5.09,0.0015,0.001301,0.0012,0.0002013,0.00381,0.00154,100.0,29.8,27.7,,LÓTICO
24000.0,24000.0,24000.0,2.442,2.156,2.0,2.0,10.0,12.54,0.233,0.005,0.613,0.188,1.034,0.42100000000000004,1.0,1.0,0.095,0.026,100.0,0.319,189.44,296.0,8.0,99.0,7.91,237.5,285.0,0.0015,0.001301,0.00872,0.0002013,0.01189,0.00154,196.0,29.3,23.8,,LÓTICO
